h,v
0.302,0.141
0.251,-0.101
0.226,0.739
0.649,0.167
0.0,0.0
0.154,0.565
0.738,0.105
0.0,0.0
0.119,0.106
0.763,0.244
0.0,0.0
0.029,0.037
0.669,0.252
0.0,0.0
0.045,0.035
0.611,0.08
0.448,-0.028
0.573,0.272
0.0,0.0
0.324,0.488
0.662,0.149
0.491,0.002
0.0,0.0
0.105,-0.068
0.459,-0.241
0.551,0.022
0.0,0.0
0.143,-0.028
0.608,0.206
0.67,0.164
0.0,0.0
0.219,0.005
0.309,0.167
0.569,0.087
-0.0,-0.003
0.092,-0.074
0.477,-0.162
0.378,-0.072
0.0,-0.001
0.009,-0.024
0.381,-0.18
0.441,-0.173
-0.0,0.005
0.082,-0.055
0.517,-0.167
0.554,-0.162
0.348,-0.196
-0.0,-0.001
0.004,-0.011
0.378,-0.122
0.461,-0.209
0.0,-0.004
0.078,-0.147
0.283,-0.137
0.26,-0.299
0.0,-0.004
0.0,-0.0
0.411,-0.164
-0.0,0.002
0.007,-0.039
0.305,-0.296
0.341,-0.276
-0.0,-0.002
0.038,-0.036
0.483,-0.071
0.291,-0.18
0.428,-0.07
0.511,-0.166
0.0,-0.001
0.004,-0.007
0.419,-0.266
0.36,-0.149
0.389,-0.106
0.302,-0.225
0.009,0.015
